City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Narsaq,GL,60.9167,-46.05,24.8,86,75,9.22,light snow,2021-02-15 16:10:20
1,Saskylakh,RU,71.9167,114.0833,-22.97,86,100,9.8,overcast clouds,2021-02-15 16:10:20
2,Barrow,US,71.2906,-156.7887,-13.0,77,1,10.36,clear sky,2021-02-15 16:10:21
3,Keti Bandar,PK,24.1447,67.4497,70.65,87,0,11.5,clear sky,2021-02-15 16:10:21
4,Yellowknife,CA,62.456,-114.3525,-11.0,84,20,8.05,few clouds,2021-02-15 16:10:22
5,Turayf,SA,31.6725,38.6637,69.8,32,0,4.61,clear sky,2021-02-15 16:10:22
6,Lasa,IT,46.6166,10.7002,37.99,46,0,3.44,clear sky,2021-02-15 16:10:22
7,Hermanus,ZA,-34.4187,19.2345,70.0,53,3,5.99,clear sky,2021-02-15 16:10:22
8,Ushuaia,AR,-54.8,-68.3,59.0,47,40,6.91,scattered clouds,2021-02-15 16:07:56
9,Jamestown,US,42.097,-79.2353,21.0,86,90,4.88,light snow,2021-02-15 16:09:55
10,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,20,2.3,few clouds,2021-02-15 16:10:23
11,Damietta,EG,31.4165,31.8133,62.6,63,0,2.3,clear sky,2021-02-15 16:07:11
12,Pipri,IN,19.8,75.5333,75.2,53,0,4.79,clear sky,2021-02-15 16:10:24
13,Atuona,PF,-9.8,-139.0333,78.17,78,25,11.45,scattered clouds,2021-02-15 16:10:24
14,Punta Arenas,CL,-53.15,-70.9167,55.4,58,75,24.16,broken clouds,2021-02-15 16:10:24
15,Puerto Ayora,EC,-0.7393,-90.3518,82.0,74,40,6.91,light rain,2021-02-15 16:10:25
16,New Norfolk,AU,-42.7826,147.0587,57.99,74,100,1.05,overcast clouds,2021-02-15 16:10:25
17,Upernavik,GL,72.7868,-56.1549,-4.2,90,96,6.06,overcast clouds,2021-02-15 16:10:25
18,Rikitea,PF,-23.1203,-134.9692,79.23,79,58,14.83,broken clouds,2021-02-15 16:10:25
19,Busayra,JO,30.7376,35.6078,52.7,60,0,3.44,clear sky,2021-02-15 16:10:26
20,Yulara,AU,-25.2406,130.9889,77.0,31,8,6.91,clear sky,2021-02-15 16:10:26
21,Georgetown,MY,5.4112,100.3354,86.0,51,20,5.75,few clouds,2021-02-15 16:10:27
22,San Patricio,US,28.017,-97.5169,21.2,79,40,13.8,scattered clouds,2021-02-15 16:10:27
23,Hobart,AU,-42.8794,147.3294,59.0,82,90,3.44,overcast clouds,2021-02-15 16:10:07
24,Yeppoon,AU,-23.1333,150.7333,73.4,78,82,6.91,broken clouds,2021-02-15 16:10:28
25,Butaritari,KI,3.0707,172.7902,79.16,79,21,15.14,few clouds,2021-02-15 16:10:28
26,Kapuskasing,CA,49.4169,-82.4331,-11.2,76,100,3.44,overcast clouds,2021-02-15 16:10:28
27,Thunder Bay,CA,48.4001,-89.3168,-9.0,63,1,5.75,clear sky,2021-02-15 16:08:42
28,Guerrero Negro,MX,27.9769,-114.0611,58.95,73,31,7.96,scattered clouds,2021-02-15 16:10:29
29,Lokosovo,RU,61.1333,74.8167,6.6,95,100,4.92,light snow,2021-02-15 16:10:29
30,San Quintin,MX,30.4833,-115.95,57.0,71,88,3.71,overcast clouds,2021-02-15 16:10:30
31,Ribeira Grande,PT,38.5167,-28.7,59.0,58,20,18.41,few clouds,2021-02-15 16:10:30
32,Zhangjiakou,CN,40.81,114.8794,20.68,74,52,13.53,broken clouds,2021-02-15 16:10:30
33,Hope,US,33.6671,-93.5916,17.01,71,100,7.0,light snow,2021-02-15 16:10:30
34,Saint Anthony,US,45.0205,-93.218,-9.99,53,1,4.61,clear sky,2021-02-15 16:10:31
35,Hilo,US,19.7297,-155.09,68.0,77,1,4.61,clear sky,2021-02-15 16:10:31
36,Hervey Bay,AU,-25.2986,152.8535,70.0,84,6,1.01,clear sky,2021-02-15 16:10:31
37,Lerwick,GB,60.1545,-1.1494,44.6,93,20,10.36,few clouds,2021-02-15 16:10:31
38,Havre,FR,49.5833,0.3333,50.0,81,90,11.5,overcast clouds,2021-02-15 16:10:32
39,Westport,US,41.1415,-73.3579,34.0,69,90,5.75,light rain,2021-02-15 16:10:32
40,Acarau,BR,-2.8856,-40.12,87.62,57,54,12.59,broken clouds,2021-02-15 16:10:32
41,Castro,BR,-24.7911,-50.0119,77.52,57,1,7.9,clear sky,2021-02-15 16:10:33
42,Nanortalik,GL,60.1432,-45.2371,23.11,85,0,21.03,clear sky,2021-02-15 16:10:33
43,Mataura,NZ,-46.1927,168.8643,43.0,86,33,1.01,scattered clouds,2021-02-15 16:10:34
44,Cape Town,ZA,-33.9258,18.4232,72.0,37,20,24.16,few clouds,2021-02-15 16:07:04
45,Longyearbyen,SJ,78.2186,15.6401,24.8,93,75,11.5,light intensity drizzle,2021-02-15 16:10:34
46,Busselton,AU,-33.65,115.3333,69.01,94,1,3.0,clear sky,2021-02-15 16:10:34
47,East London,ZA,-33.0153,27.9116,71.6,56,20,23.02,few clouds,2021-02-15 16:10:35
48,Port Alfred,ZA,-33.5906,26.891,70.0,77,38,7.0,scattered clouds,2021-02-15 16:10:35
49,Vyshkov,RU,52.4764,31.6873,8.6,72,0,13.42,clear sky,2021-02-15 16:10:36
50,Laval,CA,45.57,-73.692,24.01,63,100,2.3,overcast clouds,2021-02-15 16:09:29
51,Santa Luzia,BR,-19.7697,-43.8514,77.0,78,75,5.75,broken clouds,2021-02-15 16:10:36
52,Lompoc,US,34.6391,-120.4579,51.8,93,1,5.75,clear sky,2021-02-15 16:07:19
53,Puerto Madryn,AR,-42.7692,-65.0385,64.76,38,34,7.61,scattered clouds,2021-02-15 16:10:37
54,Lebu,CL,-37.6167,-73.65,63.34,55,0,12.84,clear sky,2021-02-15 16:10:37
55,Mangaluru,IN,12.8667,74.8833,78.8,78,20,5.75,light rain,2021-02-15 16:10:37
56,Huilong,CN,31.8111,121.655,43.0,65,73,1.99,broken clouds,2021-02-15 16:10:38
57,Cayenne,GF,4.9333,-52.3333,86.0,58,40,17.27,scattered clouds,2021-02-15 16:10:38
58,Tiznit,MA,29.5833,-9.5,73.09,20,0,13.18,clear sky,2021-02-15 16:10:38
59,Mar Del Plata,AR,-38.0023,-57.5575,72.0,88,75,9.22,light intensity drizzle,2021-02-15 16:09:11
60,Khatanga,RU,71.9667,102.5,-34.19,81,0,7.85,clear sky,2021-02-15 16:10:39
61,Sao Filipe,CV,14.8961,-24.4956,74.19,65,92,5.48,overcast clouds,2021-02-15 16:10:39
62,Bredasdorp,ZA,-34.5322,20.0403,69.8,37,7,12.66,clear sky,2021-02-15 16:10:40
63,La Romana,DO,18.4273,-68.9728,84.2,61,40,12.66,scattered clouds,2021-02-15 16:05:53
64,Port-Gentil,GA,-0.7193,8.7815,84.2,84,40,11.5,scattered clouds,2021-02-15 16:10:41
65,Bluff,NZ,-46.6,168.3333,43.0,86,71,1.01,broken clouds,2021-02-15 16:10:41
66,Nikolskoye,RU,59.7035,30.7861,14.0,85,75,11.18,light snow,2021-02-15 16:10:41
67,Caravelas,BR,-17.7125,-39.2481,84.87,60,61,10.71,light rain,2021-02-15 16:10:42
68,Isangel,VU,-19.55,169.2667,78.8,94,20,6.04,few clouds,2021-02-15 16:10:42
69,Ambon,ID,-3.6954,128.1814,80.44,79,100,7.0,overcast clouds,2021-02-15 16:10:42
70,Kazerun,IR,29.6195,51.6541,60.85,37,0,2.59,clear sky,2021-02-15 16:10:42
71,Ponta Do Sol,PT,32.6667,-17.1,66.2,72,20,13.8,few clouds,2021-02-15 16:10:43
72,Nador,MA,35.174,-2.9287,60.8,72,75,8.05,broken clouds,2021-02-15 16:10:43
73,Vaini,TO,-21.2,-175.2,71.6,100,20,7.52,few clouds,2021-02-15 16:10:43
74,Fairbanks,US,64.8378,-147.7164,-25.6,75,1,0.89,clear sky,2021-02-15 16:10:03
75,Aksu,CN,41.1231,80.2644,35.4,72,0,3.96,clear sky,2021-02-15 16:10:44
76,Margate,GB,51.3813,1.3862,50.0,76,92,8.01,overcast clouds,2021-02-15 16:10:44
77,Kamina,CD,-8.7386,24.9906,74.41,85,70,3.42,light rain,2021-02-15 16:10:45
78,Saint George,US,37.1041,-113.5841,41.0,52,75,3.44,broken clouds,2021-02-15 16:10:32
79,Pangnirtung,CA,66.1451,-65.7125,-13.0,64,1,3.44,clear sky,2021-02-15 16:10:45
80,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,20,4.61,few clouds,2021-02-15 16:10:45
81,Gat,IL,31.61,34.7642,62.01,46,0,4.97,clear sky,2021-02-15 16:10:46
82,Pandaria,IN,22.2333,81.4167,71.22,28,75,3.15,broken clouds,2021-02-15 16:10:46
83,Soyo,AO,-6.1349,12.3689,87.8,66,40,8.05,scattered clouds,2021-02-15 16:10:46
84,Ostrovnoy,RU,68.0531,39.5131,14.32,95,100,16.82,light snow,2021-02-15 16:10:46
85,Muscat,OM,23.6139,58.5922,75.2,69,0,2.3,clear sky,2021-02-15 16:10:47
86,Tautira,PF,-17.7333,-149.15,77.0,78,75,6.91,light rain,2021-02-15 16:10:47
87,Correderos,HN,15.4167,-88.45,86.0,66,20,1.05,few clouds,2021-02-15 16:10:47
88,Muroto,JP,33.2833,134.15,51.53,53,0,21.16,clear sky,2021-02-15 16:10:48
89,Blagoveshchensk,RU,50.2667,127.5333,-11.2,77,20,6.71,few clouds,2021-02-15 16:09:06
90,Ketchikan,US,55.3422,-131.6461,33.8,100,90,5.75,overcast clouds,2021-02-15 16:10:48
91,Linhares,BR,-19.3911,-40.0722,88.41,57,99,5.61,overcast clouds,2021-02-15 16:10:49
92,Cervo,ES,43.6702,-7.4101,61.65,59,100,5.68,overcast clouds,2021-02-15 16:10:49
93,Hofn,IS,64.2539,-15.2082,44.6,93,75,11.5,mist,2021-02-15 16:10:49
94,Sinnamary,GF,5.3833,-52.95,81.01,70,100,15.03,overcast clouds,2021-02-15 16:10:49
95,Yar-Sale,RU,66.8333,70.8333,-9.04,90,100,16.73,overcast clouds,2021-02-15 16:10:50
96,Qaanaaq,GL,77.484,-69.3632,-4.76,88,97,2.06,overcast clouds,2021-02-15 16:10:50
97,Kuala Terengganu,MY,5.3302,103.1408,78.8,73,20,2.3,few clouds,2021-02-15 16:10:50
98,Vao,NC,-22.6667,167.4833,80.01,77,31,10.02,scattered clouds,2021-02-15 16:10:50
99,Porkhov,RU,57.765,29.5561,8.6,85,0,4.47,clear sky,2021-02-15 16:10:51
100,Sola,VU,-13.8833,167.55,77.0,100,20,15.28,few clouds,2021-02-15 16:10:51
101,Victoria,HK,22.2855,114.1577,68.0,79,8,11.5,clear sky,2021-02-15 16:09:32
102,Port Hardy,CA,50.6996,-127.4199,39.2,93,90,12.66,light rain,2021-02-15 16:10:52
103,Matara,LK,5.9485,80.5353,77.52,86,75,2.24,broken clouds,2021-02-15 16:10:52
104,Geraldton,AU,-28.7667,114.6,71.6,94,0,4.61,clear sky,2021-02-15 16:10:52
105,Avarua,CK,-21.2078,-159.775,78.8,89,90,9.22,overcast clouds,2021-02-15 16:10:52
106,Tazovskiy,RU,67.4667,78.7,-8.95,90,100,21.54,light snow,2021-02-15 16:10:53
107,Codrington,AU,-38.2667,141.9667,58.91,88,84,7.36,broken clouds,2021-02-15 16:10:53
108,Portland,US,45.5234,-122.6762,37.99,86,90,11.5,light rain,2021-02-15 16:08:43
109,Mayo,US,38.8876,-76.5119,37.99,70,90,3.44,overcast clouds,2021-02-15 16:10:53
110,Sept-Iles,CA,50.2001,-66.3821,16.0,48,88,3.44,overcast clouds,2021-02-15 16:10:54
111,Porto Murtinho,BR,-21.6989,-57.8825,96.76,45,93,3.53,overcast clouds,2021-02-15 16:10:54
112,Pevek,RU,69.7008,170.3133,-18.98,87,17,1.23,few clouds,2021-02-15 16:10:54
113,Cabo San Lucas,MX,22.8909,-109.9124,64.99,63,20,2.55,few clouds,2021-02-15 16:10:31
114,Ambilobe,MG,-13.2,49.05,77.77,91,86,1.77,light rain,2021-02-15 16:10:55
115,Warri,NG,5.5167,5.75,87.57,65,92,6.91,overcast clouds,2021-02-15 16:10:55
116,Port Elizabeth,ZA,-33.918,25.5701,69.8,64,20,24.16,few clouds,2021-02-15 16:10:55
117,Kurilsk,RU,45.2333,147.8833,38.59,91,100,29.17,heavy intensity rain,2021-02-15 16:10:56
118,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.0,78,0,6.71,clear sky,2021-02-15 16:10:56
119,Mezen,RU,65.8522,44.24,-4.05,92,98,4.5,overcast clouds,2021-02-15 16:10:56
120,Rach Gia,VN,10.0167,105.0833,73.4,94,20,3.44,few clouds,2021-02-15 16:10:56
121,Kapaa,US,22.0752,-159.319,66.2,94,1,6.91,clear sky,2021-02-15 16:10:57
122,Kruisfontein,ZA,-34.0033,24.7314,69.01,67,37,10.0,scattered clouds,2021-02-15 16:10:57
123,Albany,US,42.6001,-73.9662,25.0,66,100,2.08,light snow,2021-02-15 16:09:55
124,Sangar,RU,63.9242,127.4739,-16.98,88,98,3.0,overcast clouds,2021-02-15 16:10:58
125,Leningradskiy,RU,69.3833,178.4167,-15.74,87,0,4.7,clear sky,2021-02-15 16:10:58
126,Avera,US,33.194,-82.5271,44.6,91,90,9.22,overcast clouds,2021-02-15 16:10:58
127,Akdepe,TM,42.0551,59.3788,42.8,70,0,9.22,clear sky,2021-02-15 16:10:59
128,Talnakh,RU,69.4865,88.3972,-20.58,77,92,7.85,overcast clouds,2021-02-15 16:10:59
129,Sosua,DO,19.7667,-70.5167,84.2,70,40,11.5,scattered clouds,2021-02-15 16:08:20
130,Belaya Gora,RU,68.5333,146.4167,-29.31,85,0,3.02,clear sky,2021-02-15 16:11:00
131,Jacareacanga,BR,-6.2222,-57.7528,75.92,92,100,1.23,overcast clouds,2021-02-15 16:11:00
132,Coquimbo,CL,-29.9533,-71.3436,69.8,60,40,4.61,scattered clouds,2021-02-15 16:08:13
133,Necochea,AR,-38.5473,-58.7368,66.0,89,100,11.99,overcast clouds,2021-02-15 16:11:01
134,Gazanjyk,TM,39.2446,55.5154,54.54,59,0,1.19,clear sky,2021-02-15 16:10:13
135,Cherskiy,RU,68.75,161.3,-11.33,90,100,4.09,overcast clouds,2021-02-15 16:11:01
136,Bemidji,US,47.4736,-94.8803,-9.0,69,1,2.75,clear sky,2021-02-15 16:09:52
137,Ejido,VE,8.5514,-71.2375,80.73,46,95,5.35,overcast clouds,2021-02-15 16:11:02
138,Mapimi,MX,25.8167,-103.85,46.4,49,1,5.75,clear sky,2021-02-15 16:11:02
139,Pangody,RU,65.85,74.4859,-2.2,92,100,14.88,overcast clouds,2021-02-15 16:11:03
140,Dongsheng,CN,39.8161,109.9776,21.88,83,3,12.75,clear sky,2021-02-15 16:11:03
141,Pisco,PE,-13.7,-76.2167,71.6,88,20,9.22,few clouds,2021-02-15 16:11:03
142,Jieshi,CN,22.8134,115.8257,63.52,74,17,14.85,few clouds,2021-02-15 16:11:03
143,Thompson,CA,55.7435,-97.8558,-18.4,83,75,4.61,broken clouds,2021-02-15 16:11:04
144,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,88,90,4.61,overcast clouds,2021-02-15 16:11:04
145,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,58,20,20.71,few clouds,2021-02-15 16:11:04
146,Vrindavan,IN,27.5833,77.7,68.0,73,40,2.3,scattered clouds,2021-02-15 16:11:05
147,Natal,BR,-5.795,-35.2094,89.6,58,20,17.27,few clouds,2021-02-15 16:11:05
148,Saint-Joseph,RE,-21.3667,55.6167,80.6,69,0,4.61,light rain,2021-02-15 16:11:05
149,Kaitangata,NZ,-46.2817,169.8464,51.01,68,75,5.99,broken clouds,2021-02-15 16:11:06
150,Ponta Delgada,PT,37.7333,-25.6667,57.2,58,20,20.71,few clouds,2021-02-15 16:11:06
151,Kununurra,AU,-15.7667,128.7333,82.4,79,40,8.05,scattered clouds,2021-02-15 16:11:07
152,Koumac,NC,-20.5667,164.2833,77.92,79,3,4.05,clear sky,2021-02-15 16:11:07
153,Tuatapere,NZ,-46.1333,167.6833,43.0,86,65,1.01,broken clouds,2021-02-15 16:11:07
154,Lorengau,PG,-2.0226,147.2712,81.77,82,100,12.39,overcast clouds,2021-02-15 16:11:08
155,Bousse,BF,12.6606,-1.8922,100.4,9,36,6.91,scattered clouds,2021-02-15 16:06:12
156,Ilulissat,GL,69.2167,-51.1,5.0,56,75,6.91,broken clouds,2021-02-15 16:11:08
157,Arlit,NE,18.7369,7.3853,91.92,9,0,7.76,clear sky,2021-02-15 16:11:08
158,Makeni,SL,8.8833,-12.05,99.88,28,38,3.13,scattered clouds,2021-02-15 16:11:09
159,Bolshaya Rechka,RU,51.9503,104.7355,-16.6,76,0,4.47,clear sky,2021-02-15 16:11:09
160,Bengkulu,ID,-3.8004,102.2655,77.54,89,100,4.99,overcast clouds,2021-02-15 16:11:09
161,Mirnyy,RU,62.5353,113.9611,-26.7,84,100,8.43,overcast clouds,2021-02-15 16:11:09
162,Chernyshevsk,RU,52.5243,117.0174,-19.95,82,81,4.79,broken clouds,2021-02-15 16:11:10
163,Flinders,AU,-34.5833,150.8552,66.99,91,91,1.01,light rain,2021-02-15 16:11:10
164,Severo-Kurilsk,RU,50.6789,156.125,21.18,89,33,5.32,scattered clouds,2021-02-15 16:11:10
165,Qaqortoq,GL,60.7167,-46.0333,24.8,86,75,9.22,light snow,2021-02-15 16:11:11
166,Galle,LK,6.0367,80.217,78.21,77,77,2.42,broken clouds,2021-02-15 16:11:11
167,Genhe,CN,50.7833,121.5167,-17.66,85,99,3.29,overcast clouds,2021-02-15 16:11:11
168,Port Lincoln,AU,-34.7333,135.8667,66.54,72,98,9.95,heavy intensity rain,2021-02-15 16:11:11
169,Carnarvon,AU,-24.8667,113.6333,80.6,78,40,16.11,scattered clouds,2021-02-15 16:11:12
170,Souillac,MU,-20.5167,57.5167,80.6,78,75,2.3,broken clouds,2021-02-15 16:11:12
171,Ejura,GH,7.3856,-1.3562,97.59,28,61,4.88,broken clouds,2021-02-15 16:11:12
172,Qurayyat,SA,31.3318,37.3428,69.8,30,0,11.5,clear sky,2021-02-15 16:09:19
173,Belyy Yar,RU,53.6039,91.3903,8.6,92,40,2.24,mist,2021-02-15 16:11:13
174,Bakaly,RU,55.1789,53.8028,-5.35,91,95,7.02,overcast clouds,2021-02-15 16:11:13
175,San Rafael,AR,-34.6177,-68.3301,73.02,48,3,9.8,clear sky,2021-02-15 16:10:21
176,Sitka,US,57.0531,-135.33,28.4,74,20,3.44,few clouds,2021-02-15 16:11:14
177,Parabel,RU,58.6978,81.4825,22.77,94,100,11.48,overcast clouds,2021-02-15 16:11:14
178,Penzance,GB,50.1186,-5.5371,51.8,93,75,19.57,broken clouds,2021-02-15 16:11:14
179,Ryotsu,JP,38.0833,138.4333,43.21,65,77,39.15,light rain,2021-02-15 16:11:15
180,Pointe-Noire,CG,-4.7761,11.8635,86.0,74,40,10.36,scattered clouds,2021-02-15 16:11:15
181,Vardo,NO,70.3705,31.1107,28.4,64,75,17.27,broken clouds,2021-02-15 16:11:15
182,Airai,TL,-8.9266,125.4092,60.26,100,100,2.57,overcast clouds,2021-02-15 16:11:15
183,Nelson Bay,AU,-32.7167,152.15,69.8,88,40,9.22,scattered clouds,2021-02-15 16:11:16
184,Clyde River,CA,70.4692,-68.5914,-13.5,82,0,7.16,clear sky,2021-02-15 16:11:16
185,Araouane,ML,18.9048,-3.5265,89.82,11,57,15.59,broken clouds,2021-02-15 16:11:16
186,Ayagoz,KZ,47.9714,80.4392,17.76,83,26,2.37,scattered clouds,2021-02-15 16:11:16
187,Touros,BR,-5.1989,-35.4608,89.6,51,40,16.11,scattered clouds,2021-02-15 16:11:17
188,Chokurdakh,RU,70.6333,147.9167,-16.04,88,83,4.25,broken clouds,2021-02-15 16:11:17
189,Dingle,PH,10.9995,122.6711,75.25,88,100,7.09,overcast clouds,2021-02-15 16:11:17
190,Monroe,US,43.1501,-77.6831,27.0,80,90,1.39,light snow,2021-02-15 16:10:02
191,Gold Coast,AU,-28.0,153.4333,73.0,83,40,6.91,scattered clouds,2021-02-15 16:11:18
192,Hoa Binh,VN,20.8133,105.3383,69.8,78,75,4.61,broken clouds,2021-02-15 16:11:18
193,Mindelo,CV,16.8901,-24.9804,78.8,53,75,27.63,broken clouds,2021-02-15 16:11:19
194,Poum,NC,-20.2333,164.0167,80.47,76,2,7.16,clear sky,2021-02-15 16:11:19
195,Tiksi,RU,71.6872,128.8694,-8.48,90,100,10.6,overcast clouds,2021-02-15 16:11:19
196,Charters Towers,AU,-20.1,146.2667,73.67,88,100,10.87,overcast clouds,2021-02-15 16:11:20
197,Buenos Aires,AR,-34.6132,-58.3772,82.0,57,75,6.91,broken clouds,2021-02-15 16:07:12
198,Martapura,ID,-3.4167,114.85,75.2,100,87,3.44,overcast clouds,2021-02-15 16:11:20
199,Chuy,UY,-33.6971,-53.4616,80.19,64,43,5.61,scattered clouds,2021-02-15 16:11:21
200,Mhango,TZ,-3.2833,32.85,74.48,70,54,2.17,broken clouds,2021-02-15 16:11:21
201,Storforshei,NO,66.4043,14.5233,18.0,92,0,2.3,clear sky,2021-02-15 16:11:22
202,Izhma,RU,65.0083,53.9113,-11.0,89,100,5.08,overcast clouds,2021-02-15 16:11:22
203,Simbahan,PH,6.3032,120.5836,81.36,83,91,15.66,overcast clouds,2021-02-15 16:11:22
204,Cidreira,BR,-30.1811,-50.2056,82.24,58,67,7.02,broken clouds,2021-02-15 16:11:22
205,Bagdarin,RU,54.4333,113.6,-20.38,79,0,4.97,clear sky,2021-02-15 16:11:23
206,Tvoroyri,FO,61.5556,-6.8111,44.6,100,90,17.27,mist,2021-02-15 16:11:23
207,Ahipara,NZ,-35.1667,173.1667,67.73,89,100,22.35,overcast clouds,2021-02-15 16:11:24
208,Smithers,CA,54.7804,-127.1743,15.8,92,90,4.61,light snow,2021-02-15 16:11:24
209,Iqaluit,CA,63.7506,-68.5145,-4.0,77,75,21.85,snow,2021-02-15 16:11:24
210,Torbay,CA,47.6666,-52.7314,30.99,74,75,17.27,broken clouds,2021-02-15 16:11:25
211,Isugod,PH,9.3408,118.1196,76.21,80,28,4.27,scattered clouds,2021-02-15 16:11:25
212,Mozarlandia,BR,-14.7447,-50.5706,81.73,78,72,4.68,broken clouds,2021-02-15 16:11:26
213,Taoudenni,ML,22.6783,-3.9836,80.58,17,0,26.08,clear sky,2021-02-15 16:11:26
214,Inhambane,MZ,-23.865,35.3833,82.4,83,75,13.8,light rain,2021-02-15 16:11:26
215,Mizdah,LY,31.4451,12.9801,45.59,56,45,19.75,scattered clouds,2021-02-15 16:11:26
216,Honningsvag,NO,70.9821,25.9704,24.8,74,75,8.05,broken clouds,2021-02-15 16:11:27
217,Sehithwa,BW,-20.4667,22.7167,82.36,59,29,5.79,scattered clouds,2021-02-15 16:11:27
218,Guanare,VE,9.0418,-69.7421,90.77,41,76,6.31,broken clouds,2021-02-15 16:11:27
219,Bardiyah,LY,31.7561,25.0865,54.19,59,44,21.16,scattered clouds,2021-02-15 16:11:28
220,Bandarbeyla,SO,9.4942,50.8122,75.67,76,37,12.59,scattered clouds,2021-02-15 16:11:28
221,Aswan,EG,24.0934,32.907,78.28,18,0,10.33,clear sky,2021-02-15 16:11:28
222,Salalah,OM,17.0151,54.0924,77.0,61,0,3.44,clear sky,2021-02-15 16:11:28
223,Nesna,NO,66.1967,13.0213,24.8,63,0,5.75,clear sky,2021-02-15 16:11:29
224,Okhotsk,RU,59.3833,143.3,2.23,85,100,4.25,overcast clouds,2021-02-15 16:11:29
225,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,1.14,light snow,2021-02-15 16:11:29
226,Soligalich,RU,59.0778,42.2864,-5.64,91,92,5.73,overcast clouds,2021-02-15 16:11:29
227,Haines Junction,CA,60.7522,-137.5108,-38.2,60,57,1.14,broken clouds,2021-02-15 16:11:30
